scenario	name	response
(Reimer, 1991a, pp. 190–191)	Jakub	0
(Perry, 2017, p. 979)	Jakub	0
(Siegel, 2002, pp. 10–11)	Jakub	1
(McGinn, 1981, p. 162)	Jakub	1
(Gauker, 2008, p. 363)	Jakub	0
Dubliners	Jakub	0
(Kaplan, 1978, p. 239)	Jakub	0
(Ullman et al., 2012, p. 457)	Jakub	0
(de Gaynesford, 2006, p. 169)	Jakub	0
Exile and the Kingdom	Jakub	0
(Radulescu, 2019, p. 15)	Jakub	0
(Textor, 2007, p. 955)	Jakub	0
(McGinn, 1981, pp. 161–162)	Jakub	0
(Reimer, 1991b, p. 180)	Jakub	0
(King, 1999, p. 156)	Jakub	0
The Adventures of Sindbad	Jakub	0
(Reimer, 1991b, p. 182)	Jakub	1
(Reimer, 1991a, p. 194)	Jakub	1
(Radulescu, 2019, p. 7)	Jakub	1
The Loser	Jakub	0
(King, 2014, p. 224)	Jakub	1
Ulysses	Jakub	0
(Ciecierski, Makowski, 2020)	Jakub	0
A Spy	Jakub	0
A Pianist at the Party	Jakub	1
(Perry, 2009, p. 193)	Jakub	0
(Reimer, 1991a, pp. 190–191)	Maciej T.	1
(Perry, 2017, p. 979)	Maciej T.	0
(Siegel, 2002, pp. 10–11)	Maciej T.	0
(McGinn, 1981, p. 162)	Maciej T.	0
(Gauker, 2008, p. 363)	Maciej T.	1
Dubliners	Maciej T.	0
(Kaplan, 1978, p. 239)	Maciej T.	1
(Ullman et al., 2012, p. 457)	Maciej T.	0
(de Gaynesford, 2006, p. 169)	Maciej T.	0
Exile and the Kingdom	Maciej T.	0
(Radulescu, 2019, p. 15)	Maciej T.	0
(Textor, 2007, p. 955)	Maciej T.	0
(McGinn, 1981, pp. 161–162)	Maciej T.	0
(Reimer, 1991b, p. 180)	Maciej T.	0
(King, 1999, p. 156)	Maciej T.	0
The Adventures of Sindbad	Maciej T.	0
(Reimer, 1991b, p. 182)	Maciej T.	0
(Reimer, 1991a, p. 194)	Maciej T.	1
(Radulescu, 2019, p. 7)	Maciej T.	0
The Loser	Maciej T.	0
(King, 2014, p. 224)	Maciej T.	0
Ulysses	Maciej T.	0
(Ciecierski, Makowski, 2020)	Maciej T.	0
A Spy	Maciej T.	0
A Pianist at the Party	Maciej T.	0
(Perry, 2009, p. 193)	Maciej T.	0
(Reimer, 1991a, pp. 190–191)	Maria	1
(Perry, 2017, p. 979)	Maria	1
(Siegel, 2002, pp. 10–11)	Maria	1
(McGinn, 1981, p. 162)	Maria	0
(Gauker, 2008, p. 363)	Maria	1
Dubliners	Maria	0
(Kaplan, 1978, p. 239)	Maria	1
(Ullman et al., 2012, p. 457)	Maria	0
(de Gaynesford, 2006, p. 169)	Maria	1
Exile and the Kingdom	Maria	0
(Radulescu, 2019, p. 15)	Maria	0
(Textor, 2007, p. 955)	Maria	0
(McGinn, 1981, pp. 161–162)	Maria	0
(Reimer, 1991b, p. 180)	Maria	1
(King, 1999, p. 156)	Maria	0
The Adventures of Sindbad	Maria	0
(Reimer, 1991b, p. 182)	Maria	1
